Start,Stop,Lat,Lon,av,IRI
1708511291.29,1708511291.87,10.87374973,106.8014297,10.374692632662532,2.3423125392330917
1708511292.3,1708511292.85,10.87376213,106.8014221,9.744116600971752,1.9782515172447794
1708511293.3,1708511293.87,10.87377834,106.8014221,11.017894157536036,2.4024919283801274
1708511294.3,1708511294.86,10.87380028,106.8014145,9.947956378629286,2.093743948190839
1708511295.29,1708511295.86,10.87382221,106.8014069,10.262679420545537,2.2378146058472743
1708511296.3,1708511296.87,10.87384987,106.8013992,10.142080106609733,2.211517486438047
1708511297.29,1708511297.87,10.87388134,106.8013992,9.713434854193787,2.193019211612333
1708511298.29,1708511298.88,10.87391758,106.8013992,9.696538185237955,2.265346770590095
1708511299.3,1708511299.86,10.87395763,106.8014069,10.557028464487534,2.2219352012724496
1708511300.29,1708511300.85,10.87400246,106.8014069,10.37258177975849,2.1831147526077443
1708511301.3,1708511301.87,10.87404633,106.8014069,10.637953150029483,2.3196444086323753
1708511302.29,1708511302.86,10.87408924,106.8014069,9.309814564330603,2.0300389553317295
1708511303.3,1708511303.85,10.87413502,106.8014145,10.531428361496523,2.1380916288304173
1708511304.3,1708511304.86,10.8741827,106.8014145,10.163400158302228,2.139088347854134
1708511305.28,1708511305.86,10.87422657,106.8014145,9.99330512004023,2.2562060120565968
1708511306.29,1708511306.84,10.87426567,106.8014221,9.4550825544313,1.9195717964944117
1708511307.29,1708511307.85,10.87430477,106.8014297,14.280936302171044,3.005705173919295
1708511308.29,1708511308.85,10.87434387,106.8014374,10.144627751781837,2.1351373240408926
1708511309.3,1708511309.81,10.87438869,106.801445,10.36817633702068,1.8099077613442094
1708511310.31,1708511310.8,10.87443638,106.801445,10.417380908846523,1.6786666131375698
1708511311.3,1708511311.8,10.87448597,106.8014526,10.161245139144011,1.7049069025409416
1708511312.3,1708511312.79,10.87453747,106.8014603,9.283238928305142,1.4959099016424793
1708511313.29,1708511313.8,10.87458992,106.8014679,9.494581495662553,1.657409768230536
1708511314.29,1708511314.8,10.87464428,106.8014755,12.060523413185683,2.105330216410148
1708511315.3,1708511315.8,10.87469864,106.8014755,10.099942519088357,1.6946212280349593
1708511316.3,1708511316.82,10.87475395,106.8014832,10.08860495807027,1.8308446849264033
1708511317.3,1708511317.89,10.87481022,106.8014832,10.202619411560093,2.3835796336803976
1708511318.29,1708511318.89,10.87486839,106.8014908,10.153125385911514,2.45310528981734
1708511319.3,1708511319.89,10.87492657,106.8014984,10.104259457460177,2.3606003600345873
1708511320.3,1708511320.87,10.87498665,106.8014984,10.046388933952583,2.190651677905227
1708511321.3,1708511321.88,10.87504673,106.801506,10.41029004825941,2.3503513624439694
1708511322.3,1708511322.88,10.87510681,106.801506,10.019157760122464,2.262044667620207
1708511323.3,1708511323.88,10.87516785,106.801506,9.353232358685181,2.111697398975578
1708511324.3,1708511324.88,10.87522984,106.8015137,10.199612873917214,2.302786368437504
1708511325.29,1708511325.87,10.87529182,106.8015137,9.572994858222557,2.161311827574987
1708511326.31,1708511326.88,10.87535477,106.8015213,27.856154017858724,6.074140866902337
1708511327.3,1708511327.86,10.87541771,106.8015213,10.209028819845912,2.1486918010997043
1708511328.3,1708511328.87,10.87548161,106.8015289,10.962657321815525,2.390447335278185
1708511329.29,1708511329.86,10.87554646,106.8015289,7.7318498936398,1.685958014781883
1708511330.3,1708511330.86,10.87561035,106.8015366,10.476106809730842,2.2049036403693085
1708511331.29,1708511331.86,10.87567425,106.8015366,10.635851582684337,2.319186154222643
1708511332.29,1708511332.87,10.87573719,106.8015366,10.48083886591781,2.366277360355931
1708511333.3,1708511333.86,10.87579823,106.8015442,10.191201134093841,2.1449396124357256
1708511334.3,1708511334.9,10.87585354,106.8015442,10.469021231975585,2.5294291547906202
1708511335.29,1708511335.85,10.87590313,106.8015442,10.04755705521386,2.114706878253808
1708511336.29,1708511336.85,10.87594414,106.8015442,10.02993588657918,2.1109981551970636
1708511337.29,1708511337.86,10.87597656,106.8015442,8.987835142878154,1.959830170414794
1708511338.3,1708511338.86,10.87600613,106.8015442,11.193598989303366,2.3559140440821182
1708511339.29,1708511339.86,10.87603951,106.8015442,9.868120388402241,2.15177957261496
1708511340.3,1708511340.86,10.87607574,106.8015518,10.208929914540505,2.148670984524242
1708511341.29,1708511341.86,10.87611485,106.8015594,10.541915543834211,2.29870305900548
1708511342.3,1708511342.87,10.87615681,106.8015594,10.371559000994553,2.261556194707543
1708511343.29,1708511343.87,10.87619972,106.8015671,10.422602841900865,2.3531293111442833
1708511344.3,1708511344.86,10.87623978,106.8015747,10.805094220371755,2.2741455402976327
1708511345.3,1708511345.82,10.87627506,106.8015747,9.412617713591805,1.7081688879480101
1708511346.29,1708511346.87,10.87630081,106.8015823,10.761454491739384,2.429632442028161
1708511347.29,1708511347.86,10.8763237,106.8015976,10.469025742637184,2.282809172521073
1708511348.29,1708511348.81,10.87634659,106.8016052,9.616334049707069,1.7451386149577843
1708511349.3,1708511349.81,10.87636566,106.8016129,10.227916590282588,1.7854234937185693
1708511350.3,1708511350.8,10.87638187,106.8016281,10.538617345532362,1.768224386834289
1708511351.29,1708511351.8,10.87639809,106.801651,10.256157364670692,1.7903533092512098
1708511352.29,1708511352.8,10.87641048,106.8016739,10.410157566317405,1.8172361622379722
1708511353.29,1708511353.79,10.87641907,106.8017044,10.32301877682428,1.7320501303396445
1708511354.28,1708511354.8,10.87642002,106.8017426,10.184401198783254,1.8482294510932062
1708511355.29,1708511355.89,10.87642288,106.8017883,10.230885811590115,2.4718930526312723
