Timestamp,Lat,Lon,avg_ax,avg_ay,avg_az,av,s,v(km/h),IRI
1708512629.24,10.87347698,106.8018188,-0.30,-0.23,9.95,9.959472784648199,0.9420287079112036,1.1342151630981987,91.62902666393718
1708512632.23,10.8734808,106.8018265,-0.11,-0.13,10.02,10.023031671549726,1.0596876508545683,3.7400741317771558,10.731335547755032
1708512633.25,10.87349033,106.8018265,-0.40,-0.14,10.02,10.02585186183975,1.273181910304566,4.676994681520249,9.908953634851608
1708512634.23,10.87350178,106.8018265,-0.08,-0.07,10.15,10.153818384124161,2.085151654382962,7.3593589177914644,10.871364647115051
1708512635.25,10.87351894,106.8018188,-0.42,-0.17,10.11,10.11611857888394,2.5769125426470976,9.370590973903669,10.203252954562624
1708512636.24,10.87354088,106.8018112,-0.19,0.19,10.25,10.250692161796605,3.721779932881123,13.533745080105247,10.338985676233746
1708512637.23,10.87356567,106.8017883,-0.81,-0.27,9.99,10.028440806027625,3.6450416642681196,12.992227836899772,10.527627246324613
1708512638.24,10.87358952,106.8017654,-0.26,0.02,10.90,10.898795477351745,4.256735182833838,15.324246658201817,11.215866917567862
1708512639.24,10.87361336,106.8017349,-0.86,-0.10,9.51,9.553311638657357,4.12781975500196,15.010253509957701,9.635598321915092
1708512640.23,10.87363529,106.8017044,-0.61,-0.20,10.41,10.429451620824132,4.933218928674181,17.583750802889867,10.948599206131675
1708512641.24,10.87365913,106.8016663,-0.64,-0.32,10.93,10.951804715690114,4.943027940318151,17.794900585145346,11.270418318577288
1708512642.24,10.87368298,106.8016281,-1.68,-0.35,10.41,10.552991808539941,4.822421256696608,17.36071652410779,10.860003011592232
1708512643.24,10.87370491,106.80159,-1.76,-0.48,10.28,10.43711685108801,4.728741312573504,17.023468725264618,10.740756980729426
1708512644.24,10.87372494,106.8015518,-1.30,0.01,9.63,9.722980510111084,4.066308237227434,14.638709654018765,10.005844744047806
1708512645.24,10.87374592,106.8015213,-1.42,-0.10,10.65,10.749922738740446,4.066308046821194,14.786574573273267,10.842516335694663
1708512646.23,10.8737669,106.8014908,-1.22,-0.15,17.96,18.002112993263385,3.4927821295384223,12.449520579273464,18.898205504227807
1708512647.24,10.87378883,106.8014679,-3.52,-0.38,6.42,7.331434792120237,3.882553099922102,13.977191159719567,7.5447233700386604
1708512648.24,10.87381554,106.801445,-0.86,-0.19,10.31,10.345782151840108,3.5963701337354097,12.946932481447476,10.646765141553319
1708512649.24,10.87384701,106.8014374,-0.41,0.10,10.04,10.045551945457696,4.53203907290689,16.315340662464802,10.3378005365732
1708512650.24,10.87388706,106.8014297,0.56,-0.04,10.33,10.343846667893375,4.878121432030591,17.561237155310128,10.644773349853699
1708512651.24,10.87393093,106.8014297,-0.02,0.58,11.06,11.073726287428675,5.514156412314037,19.850963084330534,11.395886873872419
1708512652.24,10.87398052,106.8014297,-0.19,-0.06,12.00,12.005058887356153,5.938921032092343,21.596076272299193,12.108463498816434
1708512653.23,10.87403393,106.8014297,-0.25,0.15,9.85,9.85416296687739,6.255826573115299,22.297995916698355,10.344674366275123
1708512654.24,10.87409019,106.8014297,-0.85,0.06,10.03,10.06614140461864,6.363685651693817,23.140674874152594,10.152845305916875
1708512655.23,10.87414742,106.8014297,-1.08,-0.20,10.47,10.525487320468033,6.3625737026634654,22.905265329588477,10.831698353660865
1708512656.23,10.87420464,106.8014297,-1.17,-0.53,9.90,9.98676081953837,6.207402331121709,22.125394656477585,10.48387255206277
1708512657.24,10.87425995,106.8014374,-3.21,-0.87,4.90,5.921588563140056,5.832173902544175,21.20790489586332,5.972593691090243
1708512658.23,10.8743124,106.8014374,-0.32,0.34,11.78,11.787497496170346,5.996626380223871,21.16456409067447,12.620491987347773
1708512659.25,10.87436581,106.801445,0.08,0.16,14.20,14.204441109111693,6.521232307837919,23.713571800066934,14.326789922864293
1708512660.24,10.87442398,106.8014526,-0.18,-0.13,9.86,9.86580190467162,7.10535581267191,25.837657251729066,9.950780197761969
1708512661.23,10.87448788,106.8014526,-0.46,0.19,9.85,9.865894677006125,7.5758139429725455,27.002901437842475,10.356990046607304
1708512662.24,10.87455559,106.8014603,-0.63,0.19,9.78,9.801972873979105,7.9958466204726015,29.075805612538257,9.88640138083512
1708512663.23,10.87462711,106.8014679,0.18,-0.26,14.21,14.211812574990802,8.208217689677472,29.257013823619335,14.919235021480548
1708512664.24,10.87470055,106.8014755,-0.79,0.09,10.45,10.480079648764338,8.483060953756617,30.539019433523823,10.784969666630857
1708512665.24,10.87477684,106.8014755,-1.34,-0.11,10.73,10.817611797434772,8.630862626380678,31.07110545497044,11.132321414606606
1708512666.24,10.87485409,106.8014832,-1.53,0.00,9.72,9.836646616945567,8.695443263645771,31.303595749124778,10.122817663664737
1708512667.24,10.87493229,106.8014832,-1.08,-0.20,8.57,8.643328191282695,8.629805612464082,31.067300204870698,8.894782815196463
1708512668.24,10.87500954,106.8014908,-0.63,-0.17,9.90,9.918417912595178,8.523559396637644,30.994761143743883,10.003849409447955
1708512669.23,10.87508583,106.8014984,-0.71,-0.15,11.22,11.247108023349332,8.629805571348607,31.067300056854986,11.574312689831991
1708512670.23,10.87516308,106.801506,-1.38,-0.07,10.99,11.080280406600226,8.524629498170283,30.384818300183394,11.631824344551053
1708512671.24,10.87523937,106.8015137,-0.85,0.17,10.38,10.414770760799296,8.377425773415633,30.158732784296276,10.717760790432342
1708512672.24,10.87531471,106.8015137,-1.07,-0.24,9.81,9.867548524780048,8.436674734356632,30.67881692031099,9.952541862242557
1708512673.23,10.8753891,106.8015289,-0.94,-0.11,9.66,9.701312769127922,8.271790593074646,29.483610313115197,10.184215732918458
1708512674.24,10.87546349,106.8015289,-1.00,-0.09,9.75,9.804353058151714,8.31330913383944,30.230214740933523,9.888802066533119
1708512675.23,10.87553787,106.8015366,-1.51,-0.21,8.61,8.74132864790086,8.10202450544556,29.167288219604014,8.995634334208296
1708512676.23,10.87561035,106.8015442,-1.18,0.16,9.52,9.59831086330149,7.741390792955355,27.59307635424491,10.076086693601603
1708512677.24,10.87567997,106.8015442,-1.17,0.15,11.03,11.090146849472154,7.423373302725218,26.724143889810787,11.4127851484546
1708512678.24,10.87574673,106.8015442,-1.05,-0.31,9.68,9.740603321212937,6.942753199119772,24.99391151683118,10.023980243924154
1708512679.24,10.87580872,106.8015518,-2.17,-0.08,10.08,10.308136770215528,6.255826572938468,22.520975662578486,10.608024567767913
1708512680.24,10.87586498,106.8015518,-1.46,-0.25,8.89,9.014351482667026,5.681838996394496,20.454620387020185,9.276600041525018
1708512681.24,10.87591553,106.8015594,-1.35,0.60,11.36,11.459247357483825,5.619791592655021,20.231249733558077,11.792623653147
1708512682.24,10.87596607,106.8015594,-0.91,-0.36,7.84,7.90264811453871,5.408521231973051,19.470676435102984,8.132554623418976
1708512683.24,10.87601471,106.8015594,-1.01,-0.21,9.76,9.818197532020722,5.473489096103224,19.509466269335025,10.306918677305466
