time,timestamp,Latitude,Longitude,ax,ay,az,v,s,Vh
2/21/2024 17:50:35.83,1708512635.83,10.87351894,106.8018188,-1.6,-0.22,10.75,9.370590973903669,2.5769125426470976,1.8070757565975977
2/21/2024 17:50:36.24,1708512636.24,10.87354088,106.8018112,0.61,0.64,10.02,0.0,0.0,0.0641278776856052
2/21/2024 17:50:36.32,1708512636.32,10.87354088,106.8018112,0.7,0.24,11.11,0.0,0.0,0.3599642670021553
2/21/2024 17:50:36.50,1708512636.5,10.87354088,106.8018112,-1.38,0.06,9.37,0.0,0.0,0.05996788562017172
2/21/2024 17:50:36.58,1708512636.58,10.87354088,106.8018112,-0.22,-0.04,10.01,0.0,0.0,0.049049240566548635
2/21/2024 17:50:36.65,1708512636.65,10.87354088,106.8018112,0.51,0.41,10.94,0.0,0.0,0.10939979133615907
2/21/2024 17:50:36.75,1708512636.75,10.87354088,106.8018112,-0.96,-0.11,10.42,0.0,0.0,0.06668787280279502
2/21/2024 17:50:36.83,1708512636.83,10.87354088,106.8018112,-0.61,0.12,9.86,13.533745080105247,3.721779932881123,1.5776007522583906
2/21/2024 17:50:37.23,1708512637.23,10.87356567,106.8017883,-0.48,-0.2,9.69,0.0,0.0,0.07848885029418455
2/21/2024 17:50:37.32,1708512637.32,10.87356567,106.8017883,-0.73,0.57,11.35,0.0,0.0,0.0919353117373248
2/21/2024 17:50:37.41,1708512637.41,10.87356567,106.8017883,0.67,-0.22,12.07,0.0,0.0,0.5322859847436024
2/21/2024 17:50:37.62,1708512637.62,10.87356567,106.8017883,-2.04,-0.97,10.26,0.0,0.0,0.10260029354116455
2/21/2024 17:50:37.72,1708512637.72,10.87356567,106.8017883,0.18,-0.79,10.3,0.0,0.0,0.06591987426763808
2/21/2024 17:50:37.80,1708512637.8,10.87356567,106.8017883,-2.48,-0.03,6.28,12.992227836899772,3.6450416642681196,1.215808316223165
2/21/2024 17:50:38.24,1708512638.24,10.87358952,106.8017654,0.6,0.41,9.29,0.0,0.0,0.059455886596733766
2/21/2024 17:50:38.32,1708512638.32,10.87358952,106.8017654,-1.67,0.11,9.61,0.0,0.0,0.3113642309532594
2/21/2024 17:50:38.50,1708512638.5,10.87358952,106.8017654,1.07,-0.68,10.8,0.0,0.0,0.05291989906315848
2/21/2024 17:50:38.57,1708512638.57,10.87358952,106.8017654,-2.12,-0.17,10.57,0.0,0.0,0.08561729031396682
2/21/2024 17:50:38.66,1708512638.66,10.87358952,106.8017654,1.01,0.02,13.15,0.0,0.0,0.06443487710004944
2/21/2024 17:50:38.73,1708512638.73,10.87358952,106.8017654,-1.49,0.21,12.85,0.0,0.0,0.12849975490581755
2/21/2024 17:50:38.83,1708512638.83,10.87358952,106.8017654,0.79,0.22,10.0,15.324246658201817,4.256735182833838,1.6810007038117192
2/21/2024 17:50:39.24,1708512639.24,10.87361336,106.8017349,-1.7,-0.53,7.94,0.0,0.0,0.0508159030762181
2/21/2024 17:50:39.32,1708512639.32,10.87361336,106.8017349,-1.38,-0.44,10.8,0.0,0.0,0.34992025955205014
2/21/2024 17:50:39.50,1708512639.5,10.87361336,106.8017349,0.13,-0.63,8.76,0.0,0.0,0.056063893066457246
2/21/2024 17:50:39.58,1708512639.58,10.87361336,106.8017349,-1.29,1.15,11.44,0.0,0.0,0.07321629675323038
2/21/2024 17:50:39.66,1708512639.66,10.87361336,106.8017349,0.98,-0.02,12.66,0.0,0.0,0.08102384545905805
2/21/2024 17:50:39.74,1708512639.74,10.87361336,106.8017349,-2.22,-0.73,4.92,0.0,0.0,0.03148793994143489
2/21/2024 17:50:39.82,1708512639.82,10.87361336,106.8017349,-0.52,0.52,10.08,15.010253509957701,4.12781975500196,1.694448709442213
2/21/2024 17:50:40.23,1708512640.23,10.87363529,106.8017044,-0.36,-0.23,9.28,0.0,0.0,0.059391886718804014
2/21/2024 17:50:40.31,1708512640.31,10.87363529,106.8017044,-0.38,-0.3,8.28,0.0,0.0,0.239292214782763
2/21/2024 17:50:40.48,1708512640.48,10.87363529,106.8017044,-0.58,-0.46,13.8,0.0,0.0,0.11177978679667148
2/21/2024 17:50:40.57,1708512640.57,10.87363529,106.8017044,-0.39,0.11,10.91,0.0,0.0,0.0698242830050475
2/21/2024 17:50:40.65,1708512640.65,10.87363529,106.8017044,-2.43,0.39,10.09,0.0,0.0,0.06457587683111342
2/21/2024 17:50:40.73,1708512640.73,10.87363529,106.8017044,0.51,-0.7,10.1,17.583750802889867,4.933218928674181,2.627009901752473
2/21/2024 17:50:41.24,1708512641.24,10.87365913,106.8016663,-1.52,-0.36,8.69,0.0,0.0,0.055615893920949025
2/21/2024 17:50:41.32,1708512641.32,10.87365913,106.8016663,-2.03,-1.22,7.36,0.0,0.0,0.2127041909180116
2/21/2024 17:50:41.49,1708512641.49,10.87365913,106.8016663,-1.42,-0.42,10.37,0.0,0.0,0.08399683978851327
2/21/2024 17:50:41.58,1708512641.58,10.87365913,106.8016663,-1.23,-0.09,9.6,0.0,0.0,0.06144024902368982
2/21/2024 17:50:41.66,1708512641.66,10.87365913,106.8016663,0.4,-0.08,9.47,0.0,0.0,0.060607884399469195
2/21/2024 17:50:41.74,1708512641.74,10.87365913,106.8016663,-0.02,-0.26,8.46,0.0,0.0,0.054143896728564865
2/21/2024 17:50:41.82,1708512641.82,10.87365913,106.8016663,1.35,0.21,22.55,17.794900585145346,4.943027940318151,3.977821445160043
2/21/2024 17:50:42.24,1708512642.24,10.87368298,106.8016281,-1.56,0.1,14.21,0.0,0.0,0.11510078046236971
2/21/2024 17:50:42.33,1708512642.33,10.87368298,106.8016281,-2.45,-0.19,10.71,0.0,0.0,0.6168960490264904
2/21/2024 17:50:42.57,1708512642.57,10.87368298,106.8016281,-1.49,-2.06,11.58,0.0,0.0,0.056742278297765555
2/21/2024 17:50:42.64,1708512642.64,10.87368298,106.8016281,-0.43,0.38,8.89,0.0,0.0,0.08889983043678741
2/21/2024 17:50:42.74,1708512642.74,10.87368298,106.8016281,0.11,-0.48,10.9,0.0,0.0,0.06975986694342282
2/21/2024 17:50:42.82,1708512642.82,10.87368298,106.8016281,-4.23,0.15,6.19,17.36071652410779,4.822421256696608,1.0919163966980343
2/21/2024 17:50:43.24,1708512643.24,10.87370491,106.80159,-1.17,-0.05,11.36,0.0,0.0,0.07270386132819112
2/21/2024 17:50:43.32,1708512643.32,10.87370491,106.80159,-2.01,0.02,11.28,0.0,0.0,0.3259922926026047
2/21/2024 17:50:43.49,1708512643.49,10.87370491,106.80159,-2.39,-1.08,10.74,0.0,0.0,0.08699383407219216
2/21/2024 17:50:43.58,1708512643.58,10.87370491,106.80159,-1.76,1.57,11.62,0.0,0.0,0.07436830142242458
2/21/2024 17:50:43.66,1708512643.66,10.87370491,106.80159,-1.68,-1.17,11.78,0.0,0.0,0.07539185620124042
2/21/2024 17:50:43.74,1708512643.74,10.87370491,106.80159,-2.0,-0.64,7.45,0.0,0.0,0.04767990905766055
2/21/2024 17:50:43.82,1708512643.82,10.87370491,106.80159,-1.34,-2.01,7.7,17.023468725264618,4.728741312573504,1.3582804934692831
2/21/2024 17:50:44.24,1708512644.24,10.87372494,106.8015518,-0.75,0.0,9.75,0.0,0.0,0.07897484936721355
2/21/2024 17:50:44.33,1708512644.33,10.87372494,106.8015518,-0.85,0.07,10.54,0.0,0.0,0.6071040482482919
2/21/2024 17:50:44.57,1708512644.57,10.87372494,106.8015518,-1.25,1.28,10.52,0.0,0.0,0.0673282728884601
2/21/2024 17:50:44.65,1708512644.65,10.87372494,106.8015518,-1.43,-0.22,7.88,0.0,0.0,0.050431903808639614
2/21/2024 17:50:44.73,1708512644.73,10.87372494,106.8015518,-1.54,-0.73,10.46,0.0,0.0,0.051253902240799794
2/21/2024 17:50:44.80,1708512644.8,10.87372494,106.8015518,-2.01,-0.34,8.66,14.638709654018765,4.066308237227434,1.676576436065702
2/21/2024 17:50:45.24,1708512645.24,10.87374592,106.8015213,-2.13,-0.42,10.77,0.0,0.0,0.06892786853033613
2/21/2024 17:50:45.32,1708512645.32,10.87374592,106.8015213,-1.32,0.03,9.78,0.0,0.0,0.6112500000000001
2/21/2024 17:50:45.57,1708512645.57,10.87374592,106.8015213,-1.08,-0.19,9.92,0.0,0.0,0.06348825732447949
2/21/2024 17:50:45.65,1708512645.65,10.87374592,106.8015213,-1.1,0.26,11.26,0.0,0.0,0.09120582603844354
2/21/2024 17:50:45.74,1708512645.74,10.87374592,106.8015213,-1.98,-0.49,10.09,0.0,0.0,0.04944090569882121
2/21/2024 17:50:45.81,1708512645.81,10.87374592,106.8015213,-0.92,0.19,12.11,14.786574573273267,4.066308046821194,2.1362047760925997
2/21/2024 17:50:46.23,1708512646.23,10.8737669,106.8014908,-1.0,0.0,11.13,0.0,0.0,0.11129978771219841
2/21/2024 17:50:46.33,1708512646.33,10.8737669,106.8014908,10.42,0.53,78.4,0.0,0.0,4.515840358886726
2/21/2024 17:50:46.57,1708512646.57,10.8737669,106.8014908,-2.87,0.73,7.43,0.0,0.0,0.047552192733959935
2/21/2024 17:50:46.65,1708512646.65,10.8737669,106.8014908,-11.76,-2.62,-12.99,0.0,0.0,-0.08313584143073968
2/21/2024 17:50:46.73,1708512646.73,10.8737669,106.8014908,-1.36,-0.98,12.51,0.0,0.0,0.10133080672654785
2/21/2024 17:50:46.82,1708512646.82,10.8737669,106.8014908,-0.76,1.45,11.28,12.449520579273464,3.4927821295384223,1.9897927229004562
2/21/2024 17:50:47.24,1708512647.24,10.87378883,106.8014679,-1.34,-0.38,10.92,0.0,0.0,0.06988786669928232
2/21/2024 17:50:47.32,1708512647.32,10.87378883,106.8014679,-12.36,0.03,-4.16,0.0,0.0,-0.26
2/21/2024 17:50:47.57,1708512647.57,10.87378883,106.8014679,-2.0,0.21,13.35,0.0,0.0,0.06541532083550691
2/21/2024 17:50:47.64,1708512647.64,10.87378883,106.8014679,0.58,-0.06,9.02,0.0,0.0,0.07306186064536063
2/21/2024 17:50:47.73,1708512647.73,10.87378883,106.8014679,-0.9,-1.37,3.75,0.0,0.0,0.030374942064312908
2/21/2024 17:50:47.82,1708512647.82,10.87378883,106.8014679,-5.1,-0.7,5.64,13.977191159719567,3.882553099922102,0.9948963614502281
2/21/2024 17:50:48.24,1708512648.24,10.87381554,106.801445,-3.72,-0.39,11.86,0.0,0.0,0.07590385522467842
2/21/2024 17:50:48.32,1708512648.32,10.87381554,106.801445,-2.56,-0.22,10.52,0.0,0.0,0.6575
2/21/2024 17:50:48.57,1708512648.57,10.87381554,106.801445,1.47,-0.09,9.58,0.0,0.0,0.06131224850489047
2/21/2024 17:50:48.65,1708512648.65,10.87381554,106.801445,-0.19,-0.61,7.31,0.0,0.0,0.0467839107666441
2/21/2024 17:50:48.73,1708512648.73,10.87381554,106.801445,-0.73,0.89,11.22,0.0,0.0,0.09088182665642422
2/21/2024 17:50:48.82,1708512648.82,10.87381554,106.801445,0.58,-0.73,11.36,12.946932481447476,3.5963701337354097,2.00390472802741
2/21/2024 17:50:49.24,1708512649.24,10.87384701,106.8014374,-0.96,-0.22,8.95,0.0,0.0,0.057279890747122406
2/21/2024 17:50:49.32,1708512649.32,10.87384701,106.8014374,-1.54,-0.27,10.2,0.0,0.0,0.6375000000000001
2/21/2024 17:50:49.57,1708512649.57,10.87384701,106.8014374,0.54,1.11,10.93,0.0,0.0,0.0535572626765611
2/21/2024 17:50:49.64,1708512649.64,10.87384701,106.8014374,-0.56,-0.56,10.61,0.0,0.0,0.06790387048346021
2/21/2024 17:50:49.72,1708512649.72,10.87384701,106.8014374,-0.16,0.03,9.69,0.0,0.0,0.06201588171392359
2/21/2024 17:50:49.80,1708512649.8,10.87384701,106.8014374,0.22,0.52,9.84,16.315340662464802,4.53203907290689,1.9050244954834308
2/21/2024 17:50:50.24,1708512650.24,10.87388706,106.8014297,-0.3,0.0,8.57,0.0,0.0,0.05484789538579207
2/21/2024 17:50:50.32,1708512650.32,10.87388706,106.8014297,1.46,-0.45,9.43,0.0,0.0,0.589375
2/21/2024 17:50:50.57,1708512650.57,10.87388706,106.8014297,-0.05,0.03,9.55,0.0,0.0,0.046795229511542406
2/21/2024 17:50:50.64,1708512650.64,10.87388706,106.8014297,0.31,0.11,13.05,0.0,0.0,0.10570479838380895
2/21/2024 17:50:50.73,1708512650.73,10.87388706,106.8014297,0.63,0.01,6.68,0.0,0.0,0.032731937568694316
2/21/2024 17:50:50.80,1708512650.8,10.87388706,106.8014297,1.34,0.07,14.69,17.561237155310128,4.878121432030591,2.8439847397003657
2/21/2024 17:50:51.24,1708512651.24,10.87393093,106.8014297,0.57,1.26,9.48,0.0,0.0,0.06067188427739894
2/21/2024 17:50:51.32,1708512651.32,10.87393093,106.8014297,-0.56,0.15,11.14,0.0,0.0,0.6416640509948741
2/21/2024 17:50:51.56,1708512651.56,10.87393093,106.8014297,-0.41,-0.69,9.27,0.0,0.0,0.07508725460837012
2/21/2024 17:50:51.65,1708512651.65,10.87393093,106.8014297,-0.11,0.31,11.16,0.0,0.0,0.0714238637695962
2/21/2024 17:50:51.73,1708512651.73,10.87393093,106.8014297,-0.15,1.2,10.36,0.0,0.0,0.06630387353521655
2/21/2024 17:50:51.81,1708512651.81,10.87393093,106.8014297,0.54,1.27,14.94,19.850963084330534,5.514156412314037,2.7624068577233025
2/21/2024 17:50:52.24,1708512652.24,10.87398052,106.8014297,-0.35,0.0,11.7,0.0,0.0,0.07487985717780248
2/21/2024 17:50:52.32,1708512652.32,10.87398052,106.8014297,1.02,-0.2,8.55,0.0,0.0,0.49248003913879473
2/21/2024 17:50:52.56,1708512652.56,10.87398052,106.8014297,-0.12,0.09,22.01,0.0,0.0,0.14086457093868884
2/21/2024 17:50:52.64,1708512652.64,10.87398052,106.8014297,-2.34,0.57,9.21,0.0,0.0,0.05894388757329579
2/21/2024 17:50:52.72,1708512652.72,10.87398052,106.8014297,-0.11,-0.71,9.08,0.0,0.0,0.07354785971838965
2/21/2024 17:50:52.81,1708512652.81,10.87398052,106.8014297,0.73,-0.1,11.47,21.596076272299193,5.938921032092343,2.023308735076971
2/21/2024 17:50:53.23,1708512653.23,10.87403393,106.8014297,-1.9,-0.51,10.62,0.0,0.0,0.08602183592613413
2/21/2024 17:50:53.32,1708512653.32,10.87403393,106.8014297,-0.27,0.44,7.66,0.0,0.0,0.441216035064698
2/21/2024 17:50:53.56,1708512653.56,10.87403393,106.8014297,0.57,0.12,9.34,0.0,0.0,0.059776242279298224
2/21/2024 17:50:53.64,1708512653.64,10.87403393,106.8014297,0.53,0.51,10.55,0.0,0.0,0.0854548370076003
2/21/2024 17:50:53.73,1708512653.73,10.87403393,106.8014297,0.2,0.35,10.07,0.0,0.0,0.04934290588574129
2/21/2024 17:50:53.80,1708512653.8,10.87403393,106.8014297,-0.6,-0.02,10.86,22.297995916698355,6.255826573115299,2.102496546844518
2/21/2024 17:50:54.24,1708512654.24,10.87409019,106.8014297,-0.27,0.16,9.6,0.0,0.0,0.061439882812555885
2/21/2024 17:50:54.32,1708512654.32,10.87409019,106.8014297,0.03,0.36,9.52,0.0,0.0,0.5483520435791024
2/21/2024 17:50:54.56,1708512654.56,10.87409019,106.8014297,-0.34,0.11,11.5,0.0,0.0,0.07360029830962843
2/21/2024 17:50:54.64,1708512654.64,10.87409019,106.8014297,-1.4,-0.23,7.85,0.0,0.0,0.050239904174850386
2/21/2024 17:50:54.72,1708512654.72,10.87409019,106.8014297,-1.51,0.55,12.07,0.0,0.0,0.07724785266120307
2/21/2024 17:50:54.80,1708512654.8,10.87409019,106.8014297,-1.61,-0.58,9.64,23.140674874152594,6.363685651693817,1.7824365534439517
2/21/2024 17:50:55.23,1708512655.23,10.87414742,106.8014297,-2.22,-0.82,10.11,0.0,0.0,0.0647038765869729
2/21/2024 17:50:55.31,1708512655.31,10.87414742,106.8014297,0.07,-0.13,9.41,0.0,0.0,0.588125
2/21/2024 17:50:55.56,1708512655.56,10.87414742,106.8014297,-0.13,-0.19,10.48,0.0,0.0,0.0670722718508614
2/21/2024 17:50:55.64,1708512655.64,10.87414742,106.8014297,-0.17,-0.28,10.61,0.0,0.0,0.0859408360806293
2/21/2024 17:50:55.73,1708512655.73,10.87414742,106.8014297,-2.12,0.02,12.1,0.0,0.0,0.0774398522949923
2/21/2024 17:50:55.81,1708512655.81,10.87414742,106.8014297,-1.89,0.19,10.1,22.905265329588477,6.3625737026634654,1.7816406472778912
2/21/2024 17:50:56.23,1708512656.23,10.87420464,106.8014297,-1.76,-0.71,6.24,0.0,0.0,0.06239988098150207
2/21/2024 17:50:56.33,1708512656.33,10.87420464,106.8014297,-0.76,-1.65,6.95,0.0,0.0,0.36765506097793843
2/21/2024 17:50:56.56,1708512656.56,10.87420464,106.8014297,-1.55,-0.82,6.79,0.0,0.0,0.04345617613238061
2/21/2024 17:50:56.64,1708512656.64,10.87420464,106.8014297,-2.71,-1.0,9.15,0.0,0.0,0.07411485863692349
2/21/2024 17:50:56.73,1708512656.73,10.87420464,106.8014297,-0.26,1.97,21.18,0.0,0.0,0.1355517414552014
2/21/2024 17:50:56.81,1708512656.81,10.87420464,106.8014297,0.0,-0.98,9.11,22.125394656477585,6.207402331121709,1.6844395230160167
2/21/2024 17:50:57.24,1708512657.24,10.87425995,106.8014374,-8.23,-1.11,-4.24,0.0,0.0,-0.02713594824221218
2/21/2024 17:50:57.32,1708512657.32,10.87425995,106.8014374,-1.64,0.87,6.58,0.0,0.0,0.41125
2/21/2024 17:50:57.57,1708512657.57,10.87425995,106.8014374,0.27,-0.98,9.79,0.0,0.0,0.047971235279371735
2/21/2024 17:50:57.64,1708512657.64,10.87425995,106.8014374,-7.52,-5.29,-2.69,0.0,0.0,-0.021788958440800456
2/21/2024 17:50:57.73,1708512657.73,10.87425995,106.8014374,-0.2,1.54,16.22,0.0,0.0,0.10380780200204753
2/21/2024 17:50:57.81,1708512657.81,10.87425995,106.8014374,-1.94,-0.23,3.74,21.20790489586332,5.832173902544175,0.6597362396850803
2/21/2024 17:50:58.23,1708512658.23,10.8743124,106.8014374,0.56,0.1,9.46,0.0,0.0,0.06054388452153944
2/21/2024 17:50:58.31,1708512658.31,10.8743124,106.8014374,-0.84,0.01,6.36,0.0,0.0,0.3975000000000001
2/21/2024 17:50:58.56,1708512658.56,10.8743124,106.8014374,1.9,0.88,22.21,0.0,0.0,0.14214457612668244
2/21/2024 17:50:58.64,1708512658.64,10.8743124,106.8014374,-1.67,-0.07,6.46,0.0,0.0,0.05232590019612304
2/21/2024 17:50:58.73,1708512658.73,10.8743124,106.8014374,1.28,2.31,24.36,0.0,0.0,0.15590370263686054
2/21/2024 17:50:58.81,1708512658.81,10.8743124,106.8014374,-3.12,-1.18,1.82,21.16456409067447,5.996626380223871,0.35235209164429304
2/21/2024 17:50:59.25,1708512659.25,10.87436581,106.801445,3.62,0.36,31.68,0.0,0.0,0.1552317039185982
2/21/2024 17:50:59.32,1708512659.32,10.87436581,106.801445,-1.74,1.69,12.26,0.0,0.0,0.76625
2/21/2024 17:50:59.57,1708512659.57,10.87436581,106.801445,-1.0,-1.23,9.9,0.0,0.0,0.04851023792296019
2/21/2024 17:50:59.64,1708512659.64,10.87436581,106.801445,-0.88,0.89,13.19,0.0,0.0,0.1068387962208766
2/21/2024 17:50:59.73,1708512659.73,10.87436581,106.801445,-0.23,-1.54,8.26,0.0,0.0,0.052863899169969954
2/21/2024 17:50:59.81,1708512659.81,10.87436581,106.801445,0.71,0.78,9.93,23.713571800066934,6.521232307837919,1.8360575700931991
2/21/2024 17:51:00.24,1708512660.24,10.87442398,106.8014526,0.43,0.38,9.87,0.0,0.0,0.063167879516659
2/21/2024 17:51:00.32,1708512660.32,10.87442398,106.8014526,1.11,-0.12,9.03,0.0,0.0,0.5201280413360604
