Start,Stop,Lat,Lon,avg_ax,avg_ay,avg_az,av,s,v(m/s),IRI
1708512068.29,1708512068.87,10.87480354,106.8014069,0.25,-0.01,10.40,10.408045232201653,0.9540524708672449,0.9446064157185283,0.002344401141124148
1708512069.3,1708512069.88,10.87479496,106.8014069,-0.56,-0.10,10.50,10.518606926141251,1.3788170902918895,1.3927445222319623,0.00236930699321495
1708512070.29,1708512070.88,10.87478256,106.8014069,-0.61,-0.32,10.03,10.050296430122511,1.6968345805220275,1.6800342540040423,0.0023425560960019234
1708512071.3,1708512071.87,10.8747673,106.8014069,0.27,-0.12,10.37,10.374315104569018,1.9081049412039974,1.9273787099223048,0.002256918751188354
1708512072.29,1708512072.87,10.87475014,106.8014069,-0.76,-0.10,10.15,10.175284462308111,2.7576341809374405,2.7303308979959455,0.0022919720247652903
1708512073.3,1708512073.87,10.87472534,106.8014069,-0.34,-0.07,9.91,9.921132047861832,2.968904541265749,2.968904541265749,0.002158329366916341
1708512074.3,1708512074.86,10.87469864,106.8014069,-0.25,-0.30,10.51,10.514065314826821,3.0756516711675794,3.0756516711675794,0.0022077684161249606
1708512075.3,1708512075.87,10.87467098,106.8014069,-0.67,-0.15,9.92,9.947119767383253,3.711686651274193,3.7491783995143853,0.002163982961481123
1708512076.29,1708512076.87,10.8746376,106.8014069,-0.37,-0.16,10.41,10.417717546991225,3.817321831792009,3.817321831792009,0.0023465798197639972
1708512077.29,1708512077.86,10.87460327,106.8014069,-0.60,-0.13,10.55,10.567794498170162,4.242086451393484,4.200085635097645,0.002299009941496875
1708512078.3,1708512078.87,10.87456512,106.8014069,-0.50,-0.21,10.03,10.047930964465602,4.665739121964608,4.665739121964608,0.002185914306223552
1708512079.3,1708512079.87,10.87452316,106.8014069,-0.21,-0.05,10.08,10.080670998389827,4.983756612371576,5.034097539760284,0.002193036858000063
1708512080.29,1708512080.88,10.87447834,106.8014069,-0.90,-0.09,10.46,10.498777177472727,4.950056279717043,4.950056279717043,0.002447089461355799
