time_start,time_end,lat1,lon1,lat2,lon2,s
1708513076.25,10.87647247,106.8016663,10.87649727,106.8016586,2.8829715793627666
1708513078.24,10.87647247,106.801239,10.87645531,106.8011856,6.135397787933492
1708513081.25,10.87446976,106.8014526,10.87439346,106.8014374,8.645008259839738
1708513082.24,10.87422085,106.801445,10.8742857,106.8014374,7.25859052528374
1708513086.24,10.87449455,106.801445,10.87455559,106.8014526,6.837887507334449
1708513092.24,10.8764801,106.8017883,10.87647629,106.8018799,10.011454237622022
1708513093.24,10.8764801,106.8017883,10.8764801,106.8017883,0.0
1708513109.24,10.8764801,106.8017883,10.8764801,106.8019409,16.66353074550862
1708513113.25,10.87647629,106.8018799,10.8764801,106.8019409,6.674503326348061
1708513116.24,10.87646484,106.8028564,10.87646675,106.8029327,8.334472216794097
1708513119.24,10.87646484,106.8028564,10.87646484,106.8028564,0.0
1708513132.23,10.87646484,106.8028564,10.87645435,106.803009,16.704306785733745
1708513135.24,10.87646484,106.8028564,10.87644672,106.8030853,25.076374514987855
1708513141.24,10.87646675,106.8029327,10.87645435,106.803009,8.445084955047436
1708513143.24,10.87646675,106.8029327,10.87646675,106.8029327,0.0
1708513145.23,10.87646675,106.8029327,10.87644672,106.8030853,16.81171833594853
1708513148.24,10.87645435,106.803009,10.87644672,106.8030853,8.37485163392082
1708513149.24,10.87634563,106.8033447,10.87630939,106.8033905,6.42269214164403
1708513156.25,10.87372017,106.8032913,10.8736763,106.8032761,5.152772090240919
1708513163.24,10.87441921,106.8014984,10.87449074,106.8014908,7.996952604446303
1708513166.25,10.87622261,106.8015671,10.87625408,106.8015747,3.5963685882053915
