Latitude,Longitude,Latitude,Longitude,IRI
10.87347698,106.8018188,10.87355505,106.80179811,0.04311050105820218
10.87355859,106.80179484,10.87361963,106.80172619,0.03778163740856452
10.87362276,106.80172183,10.87367276,106.80164447,0.038590700652162115
10.87367617,106.80163901,10.87372208,106.80155726,0.04689943709918955
10.87372494,106.8015518,10.87378152,106.80147553,0.06159555542974589
10.87378518,106.80147172,10.87386703,106.80143355,0.04338425968995813
10.87387371,106.80143227,10.87396399,106.8014297,0.053728631475031444
10.87397225,106.8014297,10.87407144,106.8014297,0.05191815106810427
10.87408081,106.8014297,10.87417603,106.8014297,0.05114964102889462
10.87418557,106.8014297,10.87427743,106.8014374,0.045417401940248535
10.87428618,106.8014374,10.8743852,106.80144753,0.0235155072195895
10.8743949,106.8014488,10.87448788,106.8014526,0.046031155271781206
10.87449916,106.80145388,10.87459135,106.8014641,0.04037349892147993
10.87460327,106.80146537,10.87470055,106.8014755,0.06822029644794525
10.87471327,106.8014755,10.87481547,106.80147935,0.04335846043363881
10.87482834,106.80148063,10.87491926,106.8014832,0.035192103361836966
10.87493229,106.8014832,10.87502226,106.80149207,0.034039130278800296
10.87503497,106.80149333,10.87513733,106.80150347,0.037600451095247296
10.87515021,106.80150473,10.87525193,106.8015137,0.06925648113436457
10.87526448,106.8015137,10.8753643,106.80152383,0.03493633876307586
10.8753767,106.80152637,10.87547589,106.80153018,0.05502283789010645
10.87548828,106.80153147,10.87557929,106.80154094,0.04809588260648843
10.87558964,106.80154203,10.87567997,106.8015442,0.04157754341170821
10.87568951,106.8015442,10.87578215,106.80154854,0.02745337718350291
10.87579101,106.80154963,10.87588664,106.80155506,0.03598912466086769
10.87589387,106.80155614,10.87599039,106.8015594,0.0405772817187233
10.8759985,106.8015594,10.87608862,106.8015671,0.03296623448571231
10.87609704,106.8015671,10.87619241,106.8015747,0.04157654625618309
10.87619988,106.8015747,10.87629318,106.80159382,0.060466128353766614
10.87629986,106.80159763,10.87637234,106.80165097,0.04518665844412205
10.8763771,106.8016586,10.87641175,106.8017438,0.036592340547094995
10.87641302,106.8017527,10.87642447,106.80184555,0.0403638837857165
10.87642574,106.801857,10.87643242,106.80195113,0.04676366821037812
10.87643337,106.80196385,10.876441,106.80205917,0.03714447036216392
10.87644196,106.8020706,10.87644418,106.80216722,0.042767223153565556
10.8764445,106.80217993,10.8764464,106.80228167,0.034372617654135844
10.87644656,106.80229438,10.87644656,106.80239485,0.05338377195321851
10.8764464,106.8024063,10.87644577,106.8024979,0.04277870851745402
10.87644577,106.80250935,10.87644513,106.80260977,0.05862969070134415
10.87644481,106.80261995,10.87644005,106.8027191,0.06223858132712748
10.87643973,106.802728,10.87643337,106.80282342,0.05985246239754316
10.87643242,106.8028336,10.87643146,106.80292767,0.03177058225441829
10.87643242,106.80293783,10.87644809,106.80303519,0.0601536781560509
10.87644822,106.80304391,10.87644727,106.80314091,0.03071330518734528
10.87644795,106.80314746,10.87647899,106.80323412,0.04118328235475818
10.87648456,106.80323793,10.87655639,106.80321885,0.04339410312095576
10.87655767,106.80321503,10.87654908,106.8031184,0.045927416095852346
10.87654733,106.80311205,10.87653319,106.80301923,0.049467338992516055
10.87653208,106.80300905,10.87652397,106.8029099,0.051582635611905577
10.87652349,106.80289845,10.87651921,106.80280305,0.041005613449255726
10.87651857,106.80279033,10.87651825,106.8026886,0.05412522836901159
10.87651984,106.80267588,10.87652874,106.80257795,0.04069726493106468
10.87652906,106.8025665,10.87652874,106.8024673,0.0535885798511588
10.87652906,106.8024546,10.87653208,106.80235675,0.039898220894217164
10.87653256,106.8023453,10.87652874,106.8022461,0.05695222282636825
10.87652922,106.80223465,10.87652493,106.8021431,0.0411363455740603
10.8765227,106.80213167,10.87651253,106.8020401,0.05419856895123662
10.87651126,106.80202865,10.87650394,106.80193325,0.03457215653103246
10.87650363,106.80192053,10.87650204,106.8018265,0.06570915207524444
10.87650013,106.80181632,10.87648487,106.80171967,0.03963153903728454
10.87648344,106.80170823,10.87645118,106.80161283,0.056192910631092864
10.87644911,106.8016014,10.87643734,106.80150985,0.03362599560997588
10.87643623,106.8014984,10.87642669,106.80140683,0.04592954023207695
10.87642574,106.8013954,10.87641335,106.80130385,0.035892318865955064
10.87641144,106.8012924,10.8764034,106.80120196,0.026436060907071783
10.87640517,106.80119214,10.87639822,106.80109843,0.03412335409619116
10.87639659,106.80109189,10.87635486,106.80100885,0.04181759007141392
10.87635136,106.8010025,10.87629477,106.80098215,0.04305181389545631
10.8762935,106.8009847,10.87629668,106.80107755,0.04231992386190465
10.87629922,106.8010839,10.87633467,106.8011742,0.040639266246786473
10.87633737,106.8011831,10.87636089,106.80127713,0.042028196226222746
10.8763628,106.80128477,10.87636789,106.80137637,0.04073195610807583
10.87636757,106.801384,10.87634866,106.80147172,0.03281037027293144
10.87634595,106.80147553,10.87628237,106.8015391,0.03761604021291162
10.87627824,106.80154165,10.876194,106.8015671,0.05213432553296628
10.87618875,106.8015671,10.87609895,106.80156453,0.04488442421763899
10.87609212,106.80156582,10.87599836,106.80154854,0.06469685762178091
10.87598909,106.80154746,10.875897,106.8015366,0.0420619237973587
10.87588991,106.8015366,10.87579863,106.8015355,0.03594432646936564
10.87579237,106.8015344,10.8756985,106.80151696,0.03663841153541919
10.87569264,106.80151587,10.87559955,106.80150728,0.036583959684778816
10.87559128,106.801506,10.875494,106.8014984,0.042548125496907584
