Latitude,Longitude,Latitude,Longitude,s,v,IRI
10.87347698,106.8018188,10.874185567,106.8014297,101.0049282255736,22.349079174791157,12.306869516552174
10.874195103,106.8014297,10.87508583,106.8014984,100.90417133935526,42.19285401343542,5.991594445149198
10.875098705,106.801499667,10.87599039,106.8015594,100.48804777175019,39.927719856805105,6.073149952051463
10.875998497,106.8015594,10.876443543,106.802140517,100.28821982972623,33.646477463767674,7.793711407748066
10.87644386,106.8021545,10.876448494,106.803061371,100.27740461029315,39.54406046998022,7.841589010808796
10.87644863,106.8030701,10.876528423,106.8025894,100.20622622085851,29.361834734976448,8.563281445470698
10.87652874,106.80257795,10.87647311,106.801676433,100.31063900340533,43.22707761516912,6.139107567111552
10.87646866,106.80166625,10.87630939,106.8011093,100.2773030472382,26.699043337883495,9.699452108545513
10.876312252,106.801115667,10.87585449,106.8015366,100.61019113365168,25.232742076332315,10.145449238160865
10.875847406,106.8015366,10.87526321,106.8014145,68.13862089125469,27.924276730539624,6.24333753953873
