Time,Latitude,Longitude,az,s,v,IRI
1708513066.57,10.87601662,106.8015594,10.08,0.2631365745312774,15.788146792167998,0.07257643835515411
1708513066.63,10.87601805,106.80156132,10.5,0.26400745187595565,9.50427733151959,0.2099995994569781
1708513066.73,10.87601948,106.80156325,9.86,0.26400745117569563,13.577539009014579,0.0966278156968042
1708513066.8,10.87602091,106.80156518,10.17,0.26313657202122054,2.2030035167675415,3.7608671677437733
1708513067.23,10.87602234,106.8015671,9.98,0.18646861931723724,8.391095871648295,0.12774375634777244
1708513067.31,10.87602345,106.80156582,10.01,0.18728853547715657,2.696954910871055,1.25125
1708513067.56,10.87602456,106.80156453,9.71,0.18720648879009283,8.424274923273092,0.12428850375417257
1708513067.64,10.87602568,106.80156325,10.48,0.18646861802671913,8.391095813574925,0.134143744140747
1708513067.72,10.87602679,106.80156197,10.26,0.1872885344070305,7.491548520778634,0.1662116829759202
1708513067.81,10.8760279,106.80156068,9.52,0.18646861620060382,1.5256521159628624,3.6861449587402966
1708513068.25,10.87602901,106.8015594,10.41,0.4299532361051776,19.347914076341723,0.1332477458497306
1708513068.33,10.87603267,106.80155813,10.22,0.42854903292104235,6.428235238380517,1.1773440935668964
1708513068.57,10.87603632,106.80155687,9.88,0.42995323484127995,15.478294312408456,0.19760056533853915
1708513068.67,10.87603998,106.8015556,10.39,0.42995323445965034,19.347914002292928,0.13299174633801158
1708513068.75,10.87604364,106.80155433,9.33,0.4285490311285498,19.284724792131474,0.1194237722169055
1708513068.83,10.87604729,106.80155307,10.49,0.4299532333631313,3.685312759381482,3.7008733445435795
1708513069.25,10.87605095,106.8015518,9.69,0.4948174235442916,22.26680529477344,0.12403176342784718
1708513069.33,10.8760554,106.8015518,9.51,0.4948174235442916,7.125370899037799,1.1887499999999998
1708513069.58,10.87605985,106.8015518,10.16,0.4948174235442916,22.266738934656928,0.13004852710014347
1708513069.66,10.8760643,106.8015518,10.59,0.4948174235442916,19.79271581757639,0.17155767277923925
1708513069.75,10.87606875,106.8015518,11.08,0.49481742372112236,22.26680530273083,0.1418237294923165
1708513069.83,10.8760732,106.8015518,10.64,0.4948174233674608,4.241291429852387,3.7537933637696552
1708513070.25,10.87607765,106.8015518,10.83,0.5138839241930181,23.12479864221235,0.13862373559582922
1708513070.33,10.8760821,106.80155307,9.82,0.5135903106909945,7.703854354241249,1.1312640899047872
1708513070.57,10.87608655,106.80155433,10.65,0.5138839230760354,20.555322073116567,0.1725305850224686
1708513070.66,10.876091,106.8015556,9.93,0.5138839225175437,23.12479856681593,0.12710375756847497
1708513070.74,10.87609545,106.80155687,7.04,0.513590308870491,23.111585940098017,0.09011182812508196
1708513070.82,10.8760999,106.80155813,11.2,0.5138839214005596,4.404718526163477,3.951361435547005
1708513071.24,10.87610435,106.8015594,8.93,0.7383415894498025,29.533691743515387,0.14466572407163425
1708513071.33,10.87611087,106.80156068,9.69,0.7385490853867865,11.078235840592258,1.1162880887146014
1708513071.57,10.87611739,106.80156197,10.81,0.7383415885865081,33.225304153389516,0.13836856082210147
1708513071.65,10.87612391,106.80156325,10.25,0.7372497747836884,29.490019115221354,0.16604968328491054
1708513071.74,10.87613042,106.80156453,10.58,0.7385490836253688,33.234740458259985,0.13542374169934193
1708513071.82,10.87613694,106.80156582,10.78,0.7383415866781715,6.328641021915299,3.8031853817139925
1708513072.24,10.87614346,106.8015671,9.21,0.8484172903494291,43.632930829576125,0.0902578278466092
1708513072.31,10.87615109,106.8015671,8.76,0.8484172901725984,11.747316756355758,1.1843519131164566
1708513072.57,10.87615872,106.8015671,6.78,0.8473053409654152,38.12866307349946,0.08678435174596189
1708513072.65,10.87616634,106.8015671,10.3,0.8484172903494291,38.17881447587911,0.13183974853527616
1708513072.73,10.87617397,106.8015671,10.1,0.8484172905262599,38.1788144838365,0.1292797534180863
1708513072.81,10.8761816,106.8015671,10.34,0.8484172901725984,6.941595107772946,4.003649041320869
1708513073.25,10.87618923,106.8015671,9.24,0.7897201796487148,35.53744197533785,0.11827177441417007
1708513073.33,10.87619622,106.80156582,9.78,0.7910083295291119,11.865124471458993,1.126656089538576
1708513073.57,10.87620322,106.80156453,9.7,0.789720178039423,35.53733599330424,0.12416050323537318
1708513073.65,10.87621021,106.80156325,9.22,0.7897201777341888,31.58883723483031,0.14936371511091465
1708513073.74,10.8762172,106.80156197,9.37,0.7910083277642014,35.59540869581612,0.11993577124034344
1708513073.82,10.8762242,106.80156068,10.45,0.7897201764729731,6.769028854444729,3.686761339416625
1708513074.24,10.87623119,106.8015594,10.41,0.7733098934520858,30.932425237542926,0.16864167834106528
1708513074.33,10.87623803,106.80156068,10.14,0.7724146805685821,11.122771400187583,1.2675
1708513074.58,10.87624486,106.80156197,9.23,0.7733098925744426,39.77012551819265,0.09045444364220655
1708513074.65,10.8762517,106.80156325,9.36,0.7722162827234718,34.74976586251544,0.11980777148448396
1708513074.73,10.87625853,106.80156453,11.86,0.7735080074690833,30.940349805780286,0.1921316335374672
1708513074.82,10.87626537,106.80156582,9.26,0.7722162818445834,6.6189954991695705,3.2669291868897563
1708513075.24,10.8762722,106.8015671,9.8,0.789527634871125,31.58113551296282,0.15875969718947544
1708513075.33,10.87627919,106.80156837,10.99,0.7904315105883608,11.856472187691537,1.266048100616457
1708513075.57,10.87628619,106.80156963,9.42,0.7895276337283009,35.52867151686281,0.12057648870899129
1708513075.65,10.87629318,106.8015709,9.81,0.7895276333313782,31.581135451372894,0.15892169688048513
1708513075.74,10.87630017,106.80157217,10.52,0.790431509077475,35.56945183015903,0.13465574316418497
1708513075.82,10.87630717,106.80157343,4.99,0.7895276320144703,6.609997753458458,1.845302572963759
1708513076.25,10.87631416,106.8015747,8.86,0.7932601692049468,35.69674165728831,0.11340778369150939
1708513076.33,10.87632084,106.80157725,13.08,0.7922190717548371,11.883285604123213,1.506816119750979
1708513076.57,10.87632751,106.8015798,8.77,0.7932601653737452,31.73035281864308,0.14207448175089665
1708513076.66,10.87633419,106.80158235,9.55,0.7932601626394296,35.69674136183975,0.12223976684581431
1708513076.74,10.87634087,106.8015849,12.26,0.7922190651806877,40.742733636019736,0.12014777083598573
1708513076.81,10.87634754,106.80158745,17.84,0.7932601588082202,6.490309546207049,6.9076497966309764
1708513077.25,10.87635422,106.80159,10.2,0.7755577275306497,39.88586402541466,0.09995980934152157
1708513077.32,10.8763601,106.80159382,10.83,0.7749709513875123,11.159581699980176,1.35375
1708513077.57,10.87636598,106.80159763,9.02,0.775557719666368,31.02225619086989,0.14612449548381845
1708513077.66,10.87637186,106.80160145,9.91,0.7755577142586633,34.900130424997876,0.12684775805675597
1708513077.74,10.87637774,106.80160527,6.14,0.7749709381749184,34.87372547604763,0.07859185009772772
1708513077.82,10.87638362,106.80160908,8.93,0.7755577054106607,6.647636267390431,3.150505144592389
1708513078.24,10.8763895,106.8016129,11.55,0.7674905759446072,30.69965231525423,0.18710964311616757
1708513078.33,10.87639427,106.80161798,10.05,0.768280192032411,11.063234765266719,1.25625
1708513078.58,10.87639904,106.80162307,14.41,0.7667225337320516,34.502444096740895,0.18444874758986884
1708513078.66,10.8764038,106.80162815,7.81,0.7674905555957954,34.537107938963594,0.09996780932626279
1708513078.74,10.87640857,106.80163323,11.1,0.7682801726271736,34.57264073926234,0.14207972900403548
1708513078.82,10.87641334,106.80163832,10.6,0.7674905438902683,6.42550123036391,3.919881217117404
1708513079.25,10.87641811,106.8016434,8.49,0.6471826174227573,33.28370920927472,0.08320184130485474
1708513079.32,10.87642256,106.80164722,11.34,0.646479331719816,8.951252613681287,1.5331678875274675
1708513079.58,10.87642701,106.80165103,10.71,0.6471826091278782,33.283595419322026,0.10495851477876841
1708513079.65,10.87643146,106.80165485,9.59,0.6480331655897383,29.161520262131127,0.12275176586925227
1708513079.73,10.87643592,106.80165867,9.99,0.6464793205873303,25.859197484745692,0.16183769131865916
1708513079.82,10.87644037,106.80166248,10.87,0.6471825962171419,5.418272057379135,4.01972724811945
1708513080.25,10.87644482,106.8016663,9.11,0.5126086119202067,20.50436403129362,0.14758171850980828
1708513080.34,10.87644943,106.8016663,9.08,0.5126086119202067,7.68912887326457,1.0460160831298846
1708513080.58,10.87645404,106.8016663,10.4,0.511496662359362,23.01730316027322,0.13312053955132797
1708513080.66,10.87645864,106.8016663,9.5,0.5126086120970375,23.067409543162714,0.12159976806651683
1708513080.74,10.87646325,106.8016663,10.54,0.5126086117433759,23.06740952724793,0.13491174267590395
1708513080.82,10.87646786,106.8016663,10.24,0.5126086117433759,4.291606315768658,3.7867531757813415
1708513081.25,10.87647247,106.8016663,10.34,0.4800346304739619,21.601578972199345,0.13235174755871412
1708513081.33,10.8764766,106.80166502,110.62,0.481416891529268,7.2212530859922035,12.74342501275637
1708513081.57,10.87648074,106.80166373,10.99,0.48003462979709083,21.601514564148612,0.14067257016048984
1708513081.65,10.87648487,106.80166245,11.29,0.480034628612412,19.201403456381794,0.18289765114991607
1708513081.74,10.876489,106.80166117,9.69,0.481416889815275,19.256693957225444,0.1569777005883691
1708513081.83,10.87649314,106.80165988,10.62,0.48003462810470854,4.214937315624339,3.570445494896091
1708513082.24,10.87649727,106.8016586,10.46,0.40799593695496733,14.687867737821048,0.2091996009828563
1708513082.34,10.87649997,106.80165607,11.47,0.4087361440411991,8.655585048115205,0.6629665950623895
1708513082.51,10.87650267,106.80165353,10.73,0.4088148614303876,18.396686308814683,0.1373437380372343
1708513082.59,10.87650538,106.801651,11.07,0.4079959329178725,18.359779774147107,0.1416965743108847
1708513082.67,10.87650808,106.80164847,10.69,0.40873613773941064,18.39314373934226,0.1368317390137963
1708513082.75,10.87651078,106.80164593,10.5,0.4079959295301395,3.0599693498837888,4.838400384521491
1708513083.23,10.87651348,106.8016434,9.68,0.7064533100435021,25.4323434157388,0.19359963073748077
