Timestamp,Lat,Lon,avg_ax,avg_ay,avg_az,av,s,v(km/h),IRI
1708511291.24,10.87374973,106.8014297,-0.29,-0.47,10.36,10.374692632662532,1.6093117102930645,5.793522157055032,11.99962077629149
1708511292.24,10.87376213,106.8014221,-0.22,-0.01,9.74,9.744116600971752,1.8024697608630125,6.554435430907957,11.046002880980264
1708511293.23,10.87377834,106.8014221,-0.49,-0.29,11.00,11.017894157536036,2.5769123097027573,9.185034061906176,12.99970861404151
1708511294.24,10.87380028,106.8014145,-0.08,-0.39,9.94,9.947956378629286,2.5758596100669138,9.181281865148929,11.737318618088507
1708511295.25,10.87382221,106.8014069,-0.28,-0.34,10.25,10.262679420545537,3.188514483654801,11.594598010689475,11.633849541026393
1708511296.24,10.87384987,106.8013992,-0.85,-0.26,10.10,10.142080106609733,3.4993043413850398,12.472768067263099,11.966359836195616
1708511297.25,10.87388134,106.8013992,0.06,-0.31,9.71,9.713434854193787,4.029704141681162,14.506934910052182,11.234794013904647
1708511298.25,10.87391758,106.8013992,-0.78,-0.45,9.65,9.696538185237955,4.532039036171073,16.48014179095857,10.992067635868812
1708511299.24,10.87395763,106.8014069,-0.31,0.13,10.55,10.557028464487534,4.984868561401928,18.12679459411753,11.967525801332314
1708511300.23,10.87400246,106.8014069,-0.96,0.24,10.33,10.37258177975849,4.878121432030591,17.561237155310128,11.997179312697348
1708511301.23,10.87404633,106.8014069,-0.54,-0.12,10.62,10.637953150029483,4.771374302305593,17.006878861871655,12.551426726641795
1708511302.24,10.87408924,106.8014069,-0.10,-0.28,9.30,9.309814564330603,5.157710181034787,18.567756651725233,10.767957010876048
1708511303.24,10.87413502,106.8014145,-0.91,-0.27,10.49,10.531428361496523,5.301774102424883,19.08638676872958,12.180905116434959
1708511304.24,10.8741827,106.8014145,-1.61,0.11,10.03,10.163400158302228,4.87812143185376,17.561237154673538,11.755234782895819
1708511305.24,10.87422657,106.8014145,-1.41,-0.00,9.89,9.99330512004023,4.426220592390039,15.93439413260414,11.558498741902484
1708511306.24,10.87426567,106.8014221,-1.33,-0.69,9.34,9.4550825544313,4.4262205724553665,16.095347381153662,10.718351741166439
1708511307.23,10.87430477,106.8014297,0.49,0.35,14.27,14.280936302171044,4.4282809853228695,15.629227299280572,17.184990315137863
1708511308.25,10.87434387,106.8014374,-0.80,-0.31,10.11,10.144627751781837,5.052383077409246,18.188579078673285,11.733522162842492
1708511309.25,10.87438869,106.801445,-0.68,-0.23,10.34,10.36817633702068,5.302886051808898,19.09038978651203,11.992083870925995
1708511310.25,10.87443638,106.801445,-1.12,-0.34,10.35,10.417380908846523,5.5762590770375455,20.48421661900994,11.571855316095796
1708511311.23,10.87448597,106.8014526,-0.77,-0.22,10.13,10.161245139144011,5.787938660939868,20.630276610028883,11.988972128069362
1708511312.24,10.87453747,106.8014603,-1.67,-0.30,9.13,9.283238928305142,5.890924911318835,21.421544925713164,10.523548531496482
1708511313.23,10.87458992,106.8014679,-0.50,-0.16,9.48,9.494581495662553,6.10126244619189,21.747074270977294,11.202394131864297
1708511314.24,10.87464428,106.8014755,0.06,-0.10,12.06,12.060523413185683,6.044556212433328,21.54495303983036,14.229878038627039
1708511315.25,10.87469864,106.8014755,-0.88,-0.26,10.06,10.099942519088357,6.20740214268418,22.34664771366305,11.681838140422977
1708511316.25,10.87475395,106.8014832,-0.49,-0.19,10.08,10.08860495807027,6.25693852232248,22.98467167547256,11.20664377520227
1708511317.23,10.87481022,106.8014832,-0.89,-0.32,10.16,10.202619411560093,6.52123215026402,23.01611390190981,12.277340369485653
1708511318.25,10.87486839,106.8014908,-0.73,-0.28,10.12,10.153125385911514,6.522335039495135,23.717581733327275,11.509658274465634
1708511319.24,10.87492657,106.8014984,-0.88,-0.10,10.07,10.104259457460177,6.680591192893603,23.812008437134633,11.921736298202942
1708511320.25,10.87498665,106.8014984,-1.04,-0.01,9.99,10.046388933952583,6.731941805543573,24.479788147979203,11.388661040532043
1708511321.24,10.87504673,106.801506,-0.87,-0.23,10.37,10.41029004825941,6.680591192893603,24.05012829441697,12.04079360934813
1708511322.24,10.87510681,106.801506,-1.15,-0.35,9.95,10.019157760122464,6.787338322441771,24.434417960790377,11.588400531578268
1708511323.24,10.87516785,106.801506,-0.63,-0.20,9.33,9.353232358685181,6.944067155337464,24.751130688376286,11.035620194188077
1708511324.25,10.87522984,106.8015137,-1.05,-0.33,10.14,10.199612873917214,6.891861553398742,25.061314498214298,11.562356835809746
1708511325.24,10.87529182,106.8015137,-0.49,-0.20,9.56,9.572994858222557,7.048746647704715,25.375487931736973,11.072357713076507
1708511326.24,10.87535477,106.8015213,-1.51,-0.43,27.81,27.856154017858724,6.9986086831237415,24.945536135786774,32.86670575722861
1708511327.25,10.87541771,106.8015213,-1.10,-0.16,10.15,10.209028819845912,7.153657876132713,26.013301117167266,11.573030821981583
1708511328.24,10.87548161,106.8015289,-1.69,-0.42,10.82,10.962657321815525,7.210990993012896,25.959567574846425,12.679674976400873
1708511329.24,10.87554646,106.8015289,-2.29,-0.49,7.37,7.7318498936398,7.1538286268450575,26.01392202884254,8.76488241037006
1708511330.23,10.87561035,106.8015366,-0.94,-0.04,10.43,10.476106809730842,7.105355812495079,25.326020956940635,12.360468705621754
1708511331.24,10.87567425,106.8015366,-0.75,-0.14,10.61,10.635851582684337,6.9986086831237415,24.945536135786774,12.54894714545059
1708511332.25,10.87573719,106.8015366,-1.22,-0.24,10.41,10.48083886591781,6.837887087280231,24.616393514208834,12.122392080559829
1708511333.25,10.87579823,106.8015442,-1.63,-0.18,10.06,10.191201134093841,6.150191392597481,22.36433212128085,11.552821225130192
1708511334.24,10.87585354,106.8015442,-1.86,-0.13,10.30,10.469021231975585,5.514156412314037,19.850963084330534,12.10872351891654
1708511335.24,10.87590313,106.8015442,-2.20,-0.23,9.80,10.04755705521386,4.5601039418004525,16.582195992264126,11.389985231461376
1708511336.23,10.87594414,106.8015442,-1.86,-0.57,9.84,10.02993588657918,3.604939521726026,12.849289505697095,11.834043972356154
1708511337.24,10.87597656,106.8015442,-2.19,-0.66,8.69,8.987835142878154,3.2880339810567314,11.956487088664938,10.18867660841691
1708511338.23,10.87600613,106.8015442,0.08,0.01,11.19,11.193598989303366,3.711686651274193,13.100070778873643,13.469837421897306
